709.77	22.8856
709.97	22.9254
710.19	22.9686
710.33	23.0088
710.51	23.0528
710.73	23.0928
710.89	23.1362
711.12	23.1756
711.26	23.2186
711.48	23.2588
711.64	23.3026
711.78	23.3426
712	23.386
712.16	23.4262
712.4	23.4688
712.62	23.5088
712.86	23.552
712.99	23.5922
713.07	23.6362
713.29	23.6762
713.47	23.7194
713.63	23.759
713.77	23.802
713.95	23.8422
714.09	23.886
714.21	23.926
714.39	23.9694
714.59	24.0096
714.76	24.052
714.98	24.092
715.16	24.1356
715.28	24.1758
715.5	24.2194
715.62	24.2594
715.7	24.3024
715.9	24.3422
716.08	24.3854
716.22	24.4256
716.38	24.4692
716.5	24.5096
716.69	24.5528
716.83	24.5924
716.95	24.635
717.11	24.677
717.29	24.7208
717.43	24.7592
717.57	24.8028
717.79	24.8426
717.87	24.8854
717.97	24.9252
718.15	24.9688
718.31	25.009
718.45	25.0528
718.56	25.0928
718.68	25.1358
718.82	25.1756
718.98	25.2188
719.12	25.2586
719.2	25.3026
719.36	25.3428
719.5	25.386
719.62	25.4258
719.7	25.4688
719.84	25.5082
719.98	25.552
720.06	25.5924
720.3	25.636
720.34	25.6764
720.49	25.719
720.59	25.7586
720.69	25.8018
720.83	25.8422
720.97	25.886
721.11	25.926
721.17	25.9694
721.27	26.0092
721.35	26.052
721.51	26.0918
721.65	26.1354
721.75	26.1758
721.89	26.221
721.97	26.2596
722.13	26.3022
722.25	26.342
722.36	26.385
722.42	26.4254
722.52	26.4694
722.72	26.5094
722.76	26.5528
722.84	26.5924
722.94	26.6352
723.06	26.675
723.14	26.719
723.32	26.7596
723.46	26.8028
723.54	26.8428
723.62	26.8856
723.72	26.9252
723.86	26.969
723.96	27.0092
724.04	27.0528
724.14	27.0926
724.21	27.1358
724.29	27.1756
724.41	27.2184
724.49	27.2586
724.55	27.3024
724.65	27.3446
724.77	27.3864
724.91	27.426
724.99	27.4684
725.05	27.5084
725.15	27.5524
725.25	27.5926
725.31	27.6364
725.41	27.676
725.45	27.719
725.51	27.7588
725.65	27.8022
725.75	27.8422
725.83	27.886
725.87	27.9262
725.95	27.9694
726.04	28.0092
726.12	28.0518
726.22	28.0922
726.26	28.136
726.34	28.1762
726.4	28.2196
726.48	28.2594
726.54	28.3024
726.64	28.3418
726.7	28.3854
726.74	28.4258
726.84	28.4696
726.84	28.5096
726.92	28.5526
727	28.5922
727.08	28.635
727.16	28.6754
727.24	28.7192
727.3	28.7594
727.32	28.8028
727.38	28.8426
727.42	28.887
727.5	28.9252
727.52	28.9688
727.58	29.009
727.72	29.0528
727.78	29.0928
727.84	29.1356
727.86	29.1752
727.92	29.2184
727.95	29.2584
727.97	29.3024
728.01	29.3428
728.11	29.3856
728.09	29.4256
728.13	29.4686
728.25	29.5084
728.29	29.552
728.31	29.5924
728.37	29.6362
728.39	29.676
728.45	29.7188
728.51	29.7586
728.49	29.8016
728.51	29.8422
728.59	29.886
728.67	29.926
728.69	29.9692
728.69	30.0088
728.73	30.0518
728.75	30.0918
728.77	30.1354
728.79	30.1758
728.89	30.2194
728.91	30.2594
728.93	30.3018
728.91	30.3418
728.93	30.3854
728.99	30.4254
729.01	30.4696
729.05	30.5094
729.05	30.5524
729.01	30.592
729.05	30.6352
729.05	30.6752
729.05	30.7192
729.07	30.7594
729.09	30.8024
729.11	30.8426
729.13	30.8852
729.13	30.9248
729.05	30.9688
729.09	31.0092
729.13	31.053
729.13	31.0926
729.13	31.1354
729.09	31.1752
729.07	31.2186
729.05	31.2588
729.05	31.3024
729.03	31.343
729.01	31.386
729.01	31.4258
729.01	31.4682
728.91	31.5086
728.91	31.5522
728.89	31.5924
728.83	31.6362
728.77	31.6758
728.75	31.7186
728.67	31.7586
728.67	31.8018
728.61	31.842
728.55	31.886
728.57	31.9262
728.51	31.969
728.37	32.0088
728.27	32.0516
728.17	32.0918
728.13	32.1358
728.05	32.1758
727.93	32.2194
727.86	32.259
727.76	32.302
727.66	32.342
727.56	32.3854
727.44	32.4254
727.26	32.4694
727.12	32.5096
727	32.5522
726.84	32.592
726.66	32.6352
726.44	32.6754
726.28	32.7192
726.08	32.7592
725.87	32.8028
725.69	32.8422
725.45	32.8852
725.15	32.9252
724.97	32.9688
724.65	33.0092
724.37	33.0528
724.08	33.0926
723.76	33.1354
723.4	33.1752
723.04	33.2188
722.74	33.2588
722.28	33.3026
721.87	33.3424
721.47	33.3858
721.11	33.4254
720.61	33.4686
720.1	33.5086
719.6	33.5522
719.06	33.5926
718.6	33.636
718.03	33.6758
717.43	33.7182
716.85	33.7582
716.24	33.802
715.64	33.8422
715.02	33.8858
714.35	33.9256
713.51	33.969
712.91	34.0088
712.26	34.052
711.5	34.092
710.73	34.1356
709.95	34.176
709.21	34.2192
708.38	34.259
707.54	34.3016
706.69	34.3418
705.85	34.3854
705.04	34.4256
704.1	34.4694
703.23	34.5092
702.35	34.552
701.34	34.5918
700.42	34.6352
699.49	34.6754
698.55	34.7192
697.5	34.7596
696.56	34.8024
695.49	34.8422
694.41	34.885
693.36	34.9252
692.24	34.969
691.29	35.0092
690.26	35.0528
689.16	35.0924
687.99	35.1354
686.93	35.175
685.76	35.2186
684.59	35.259
683.43	35.3026
682.26	35.343
681.12	35.3858
679.87	35.4252
678.56	35.4684
677.4	35.5088
676.23	35.5526
674.96	35.5924
673.6	35.6362
672.43	35.6756
671.08	35.7186
669.74	35.7584
668.41	35.8022
667.06	35.8424
665.77	35.886
664.35	35.9262
663	35.9688
661.53	36.0088
660.15	36.052
658.72	36.0938
657.21	36.136
655.8	36.176
654.33	36.2194
652.85	36.259
651.32	36.3018
649.81	36.3418
648.28	36.3856
646.71	36.426
645.19	36.4694
643.58	36.5096
642.01	36.5522
640.36	36.5918
638.75	36.6354
637.08	36.6758
635.43	36.7196
633.74	36.7592
632	36.8026
630.39	36.8422
628.64	36.8854
626.87	36.9254
625.08	36.969
623.29	37.0094
621.56	37.0528
619.77	37.0928
617.9	37.1352
616.01	37.1752
614.16	37.219
612.29	37.259
610.34	37.3028
608.43	37.3426
